GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,WebScrappingService,268,0,32,0,66,0,24,0,8,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,CreateFolderService,96,0,4,0,17,0,5,0,3,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,LoginService,268,0,0,0,62,0,6,0,6,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,HMILoaderService,472,0,42,0,113,0,31,0,10,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,TraceService,521,0,50,0,113,0,43,0,18,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,DeleteFilesFromServerService,205,0,46,0,51,0,29,0,6,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,SSEService,243,0,29,0,77,0,27,0,7,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,SendFileToServerService,376,0,8,0,104,0,11,0,7,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.service,SendFilesService,322,0,20,0,69,0,17,0,7,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.controller,FolderRecipesController,78,0,10,0,16,0,7,0,2,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.controller,TraceController,65,0,0,0,15,0,5,0,5,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.controller,OvenController,184,0,18,0,40,0,17,0,8,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.controller,SSEEmitterController,7,0,0,0,2,0,2,0,2,0
Poc Mercadona Backend,com.mercadona.poc.domain,StartJobRequest,3,0,0,0,1,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.domain,UnzippedFiles,3,0,0,0,1,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.domain,Oven,3,0,0,0,1,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.exception,IdMismatchException,4,0,0,0,2,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.exception,InvalidOvenException,4,0,0,0,2,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.exception,IpAddressInUseException,4,0,0,0,2,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.application.mapper,OvenMapperImpl,145,0,22,0,42,0,17,0,6,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.utilities,Utilities,120,0,0,0,25,0,6,0,6,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.utilities,ResponseMessage,6,0,0,0,3,0,1,0,1,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.utilities,Utilities.new DefaultConnectionKeepAliveStrategy() {...},16,0,2,0,5,0,3,0,2,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.utilities,FileUtilities,56,0,2,0,20,0,5,0,4,0
Poc Mercadona Backend,com.mercadona.poc.application.service.impl,OvenServiceImpl,226,0,6,0,37,0,21,0,18,0
Poc Mercadona Backend,com.mercadona.poc.infraestructure.cache,ServerTraceCache,65,0,8,0,17,0,10,0,6,0
